id	title	author	pub_date	venue	volume	issue	page	type	publisher	editor
doi:10.1007/978-3-030-00668-6_8; wikidata:Q61661462; meta:br/1	The SPAR Ontologies	Peroni, Silvio [orcid:0000-0003-0530-4305; viaf:309649450; wikidata:Q30536251; meta:ra/1]; Shotton, David [orcid:0000-0001-5506-523X; meta:ra/2]	2018	The Semantic Web – ISWC 2018 --- 17th International Semantic Web Conference, Monterey, CA, USA, October 8–12, 2018, Proceedings, Part II [doi:10.1007/978-3-030-00668-6; isbn:978-3-030-00670-9; isbn:978-3-030-00671-6; meta:br/2]			119-136	book chapter	Springer International Publishing [crossref:297; meta:ra/3]	
doi:10.3233/DS-170012; meta:br/3	Automating semantic publishing	Peroni, Silvio [orcid:0000-0003-0530-4305; viaf:309649450; wikidata:Q30536251; meta:ra/1]	2017	Data Science [issn:2451-8484; issn:2451-8492; meta:br/4]	1 [meta:br/5]	1-2 [meta:br/6]	155-173	journal article	IOS Press [crossref:7437; meta:ra/4]	
