"id","title","author","pub_date","venue","volume","issue","page","type","publisher","editor"
"doi:10.1145/1600193.1600232 meta:br/0603","Annotations With EARMARK For Arbitrary, Overlapping And Out-Of Order Markup","Peroni, Silvio [meta:ra/0606]; Vitali, Fabio [orcid:0000-0002-7562-5203 meta:ra/0607]","","","","","","proceedings article","",""
"doi:10.1007/978-3-319-25639-9_35 meta:br/0605","Templating The Semantic Web Via RSLT","Peroni, Silvio [meta:ra/06011]; Vitali, Fabio [meta:ra/06012]","2015","The Semantic Web: ESWC 2015 Satellite Events [: meta:br/06016]","","","183-189","book chapter","Springer International Publishing [crossref:297 meta:ra/0602]",""
"doi:10.1016/j.websem.2017.06.001 meta:br/0606","Interfacing Fast-Fashion Design Industries With Semantic Web Technologies","Peroni, Silvio [meta:ra/06013]; Vitali, Fabio [meta:ra/06014]","2017-05","Journal Of Web Semantics [issn:1570-8268 meta:br/06014]","44","","37-53","journal article","Elsevier Bv [crossref:78 meta:ra/06010]",""
"doi:10.1145/1774088.1774262 meta:br/06022","Of Mice And Terms","Di Matteo, Nicola Raffaele [meta:ra/06021]; Peroni, Silvio [meta:ra/06022]; Tamburini, Fabio [meta:ra/06023]; Vitali, Fabio [orcid:0000-0002-7562-5203 meta:ra/0607]","","","","","","proceedings article","",""
