id	title	author	pub_date	venue	volume	issue	page	type	publisher	editor
doi:10.1145/1600193.1600232 meta:br/3	Annotations With EARMARK For Arbitrary, Overlapping And Out-Of Order Markup	Peroni, Silvio [orcid:0000-0003-0530-4305 meta:ra/1]; Vitali, Fabio [orcid:0000-0002-7562-5203 meta:ra/4]						proceedings article		
doi:10.1007/978-3-319-25639-9_35 meta:br/5	Templating The Semantic Web Via RSLT	Peroni, Silvio [orcid:0000-0003-0530-4305 meta:ra/1]; Vitali, Fabio [: meta:ra/6]						book chapter		
doi:10.1016/j.websem.2017.06.001 meta:br/6	Interfacing Fast-Fashion Design Industries With Semantic Web Technologies	Peroni, Silvio [orcid:0000-0003-0530-4305 meta:ra/1]; Vitali, Fabio [: meta:ra/7]						journal article		
doi:10.1145/1774088.1774262 meta:br/13	Of Mice And Terms	Di Matteo, Nicola Raffaele [meta:ra/11]; Peroni, Silvio [orcid:0000-0003-0530-4305 meta:ra/1]; Tamburini, Fabio [meta:ra/12]; Vitali, Fabio [orcid:0000-0002-7562-5203 meta:ra/4]						proceedings article		
