"meta","author","editor","publisher"
"0601","0601, 0601","",""
"0602","0602, 0601","0604, 0603","0603, 0602"
"0603","0605, 0601; 0606, 0604","",""
"0604","0607, 0601; 0608, 0605","",""
"0605","0609, 0601; 06010, 0606","",""
"0606","06011, 0601; 06012, 0607","",""
"0607","06013, 0601; 06014, 0608","",""
"0608","06015, 0609; 06016, 0601","",""
"0609","06017, 06010; 06018, 0601; 06019, 0604","",""
