id,title,author,pub_date,venue,volume,issue,page,type,publisher
doi:10.1007/978-3-030-00668-6_8 {meta_id:id/1}; wikidata:Q61661462 {meta_id:id/2}; meta:br/1,The SPAR Ontologies,"Peroni, Silvio [orcid:0000-0003-0530-4305 {meta_id:id/3}; viaf:309649450 {meta_id:id/4}; wikidata:Q30536251 {meta_id:id/5}; meta:ra/1]; Shotton, David [orcid:0000-0001-5506-523X {meta_id:id/6}; meta:ra/2]",2018,"The Semantic Web – ISWC 2018 --- 17th International Semantic Web Conference, Monterey, CA, USA, October 8–12, 2018, Proceedings, Part II [doi:10.1007/978-3-030-00668-6 {meta_id:id/7}; isbn:978-3-030-00670-9 {meta_id:id/8}; isbn:978-3-030-00671-6 {meta_id:id/9}; meta:br/2]",,,119-136,book chapter,Springer International Publishing [crossref:297 {meta_id:id/10}; meta:ra/3]
doi:10.3233/DS-170012 {meta_id:id/11}; meta:br/3,Automating semantic publishing,"Peroni, Silvio [orcid:0000-0003-0530-4305 {meta_id:id/3}; viaf:309649450 {meta_id:id/4}; wikidata:Q30536251 {meta_id:id/5}; meta:ra/1]",2017,Data Science [issn:2451-8484 {meta_id:id/12}; issn:2451-8492 {meta_id:id/13}; meta:br/4],1 [meta:br/5],1-2 [meta:br/6],155-173,journal article,IOS Press [crossref:7437 {meta_id:id/14}; meta:ra/4]
