"id","title","author","pub_date","venue","volume","issue","page","type","publisher","editor"
"doi:10.1787/eco_outlook-v2011-2-graph138-en","Money growth, interest rates, inflation and raw materials prices: China","","2011-11-28","OECD Economic Outlook, Volume 2011 Issue 2","","","","other","OECD [crossref:1963]",""
"doi:10.1787/eco_outlook-v2011-2-graph150-en","Contributions to GDP growth and inflation: South Africa","","2011-11-28","OECD Economic Outlook, Volume 2011 Issue 2","","","","other","OECD [crossref:1963]",""
"doi:10.1787/eco_outlook-v2011-2-graph18-en","Official loans to the governments of Greece, Ireland and Portugal","","2011-11-28","OECD Economic Outlook, Volume 2011 Issue 2","","","","other","OECD [crossref:1963]",""
