"id","title","author","pub_date","venue","volume","issue","page","type","publisher","editor"
"doi:10.1007/978-3-319-54627-8_5","A Simplified Agile Methodology for Ontology Development","Peroni, Silvio [orcid:0000-0003-0530-4305]","","","","","","book chapter","",""
"doi:10.3233/ds-170012","Automating semantic publishing","Peroni, Silvio [orcid:0000-0003-0530-4305]","2017-12-8","Data Science [issn:2451-8492 issn:2451-8484]","1","1-2","155-173","journal article","IOS Press [crossref:7437]","Dumontier, Michel [orcid:0000-0003-4727-9435]"
"doi:10.1145/1600193.1600232","Annotations with EARMARK for arbitrary, overlapping and out-of order markup","Peroni, Silvio [orcid:0000-0003-0530-4305]; Vitali, Fabio [orcid:0000-0002-7562-5203]","","","","","","proceedings article","",""
"doi:10.1016/j.websem.2012.08.001","FaBiO and CiTO: Ontologies for describing bibliographic resources and citations","Peroni, Silvio [orcid:0000-0003-0530-4305]; Shotton, David [orcid:0000-0001-5506-523X]","","","","","","journal article","",""
"doi:10.1007/978-3-319-25639-9_35","Templating the Semantic Web via RSLT","Peroni, Silvio [orcid:0000-0003-0530-4305]; Vitali, Fabio","","","","","","book chapter","",""
"doi:10.1016/j.websem.2017.06.001","Interfacing fast-fashion design industries with Semantic Web technologies","Peroni, Silvio [orcid:0000-0003-0530-4305]; Vitali, Fabio","","","","","","journal article","",""
"doi:10.1007/978-3-030-00668-6_8","The SPAR Ontologies","Peroni, Silvio [orcid:0000-0003-0530-4305]; Shotton, David","","","","","","book chapter","",""
"doi:10.3233/sw-130121","The Collections Ontology: Creating and handling collections in OWL 2 DL frameworks","Ciccarese, Paolo; Peroni, Silvio [orcid:0000-0003-0530-4305]","","","","","","journal article","",""
"doi:10.4242/balisagevol3.peroni01","Towards markup support for full GODDAGs and beyond: the EARMARK approach","Di Iorio, Angelo; Peroni, Silvio [orcid:0000-0003-0530-4305]; Vitali, Fabio [orcid:0000-0002-7562-5203]","","","","","","proceedings article","",""
