"id","title","author","pub_date","venue","volume","issue","page","type","publisher","editor"
"doi:10.1145/1600193.1600232","Annotations with EARMARK for arbitrary, overlapping and out-of order markup","Peroni, Silvio [orcid:0000-0003-0530-4305]; Vitali, Fabio [orcid:0000-0002-7562-5203]","","","","","","proceedings article","",""
"doi:10.1007/978-3-319-25639-9_35","Templating the Semantic Web via RSLT","Peroni, Silvio [orcid:0000-0003-0530-4305]; Vitali, Fabio","","","","","","book chapter","",""
"doi:10.1016/j.websem.2017.06.001","Interfacing fast-fashion design industries with Semantic Web technologies","Peroni, Silvio [orcid:0000-0003-0530-4305]; Vitali, Fabio","","","","","","journal article","",""
"doi:10.1145/1774088.1774262","Of mice and terms","Di Matteo, Nicola Raffaele; Peroni, Silvio [orcid:0000-0003-0530-4305]; Tamburini, Fabio; Vitali, Fabio [orcid:0000-0002-7562-5203]","","","","","","proceedings article","",""
