id	title	author	pub_date	venue	volume	issue	page	type	publisher	editor
doi:10.1201/9781420007848.sec1 meta:br/23706	There’s Plenty Of Roomat The Bottom	Feynman, Richard [meta:ra/32060]	2007-05-03	Handbook Of Nanoscience, Engineering, And Technology, Second Edition [issn:1097-9409 meta:br/23726]			1-1-1-9	book chapter	Crc Press [crossref:301 meta:ra/32061]	
doi:10.1007/978-1-4615-4655-9_9 meta:br/23707	Integrated Logistic Support	Feynman, Richard [meta:ra/32062]	2000	Reliability, Maintenance And Logistic Support [isbn:9781461371069 meta:br/23727]			345-375	book chapter	Springer Us [crossref:297 meta:ra/32063]	
doi:10.1007/978-1-4615-4655-9_2 meta:br/23708	Probability Theory	Feynman, Richard [meta:ra/32064]	2000	Reliability, Maintenance And Logistic Support [isbn:9781461371069 meta:br/23727]			13-49	book chapter	Springer Us [crossref:297 meta:ra/32063]	
doi:10.1007/978-1-4471-0289-2_1 meta:br/23709	Overview	Feynman, Richard [meta:ra/32065]	2001	An Introduction To Object-Oriented Programming In C++ [isbn:9781852334505 meta:br/23728]			1-23	book chapter	Springer Us [crossref:297 meta:ra/32063]	
doi:10.1201/b11930-3 meta:br/23710	There’s Plenty Of Room At The Bottom	Feynman, Richard [meta:ra/32066]	2012-04-09	Handbook Of Nanoscience, Engineering, And Technology, Second Edition [issn:1097-9409 meta:br/23726]			3-12	book chapter	Crc Press [crossref:301 meta:ra/32061]	
doi:10.1201/9780429492501 isbn:9780429492501 meta:br/23711	The Theory Of Fundamental Processes	Feynman, Richard [meta:ra/32067]	2018-02-19					book	Crc Press [crossref:301 meta:ra/32061]	
doi:10.1201/9781420040623.sec1 meta:br/23712	There‚Äôs Plenty Of Room At The Bottom	Feynman, Richard [meta:ra/32068]	2002-10-29	Handbook Of Nanoscience, Engineering, And Technology, Second Edition [issn:1097-9409 meta:br/23726]				book chapter	Crc Press [crossref:301 meta:ra/32061]	
doi:10.1007/s12045-011-0104-2 meta:br/23713	What Is Science?	Feynman, Richard [meta:ra/32069]	2011-09	Resonance [issn:0971-8044 meta:br/23729]	16	9	860-873	journal article	Springer Us [crossref:297 meta:ra/32063]	
doi:10.1201/9780429502859 isbn:9780429502859 meta:br/23714	Feynman Lectures On Gravitation	Feynman, Richard [meta:ra/32070]	2018-05-04					book	Crc Press [crossref:301 meta:ra/32061]	
doi:10.1201/9780429500459-7 meta:br/23715	There’s Plenty Of Room At The Bottom	Feynman, Richard [meta:ra/32071]		Feynman And Computation [isbn:9780429500459 meta:br/23732]			63-76	book chapter	Crc Press [crossref:301 meta:ra/32061]	
doi:10.7551/mitpress/11068.001.0001 isbn:9780262341721 meta:br/23716	The Character Of Physical Law	Feynman, Richard [meta:ra/32072]	2017					book	The Mit Press [crossref:281 meta:ra/32073]	
doi:10.1017/cbo9781107590076.002 meta:br/23717	The Reason For Antiparticles	Feynman, Richard P. [meta:ra/32074]; Feynman, Richard P. [meta:ra/32075]; Weinberg, Steven [meta:ra/32076]		Elementary Particles And The Laws Of Physics [isbn:9781107590076 meta:br/23733]			1-60	book chapter	Cambridge University Press [crossref:56 meta:ra/32077]	
doi:10.1016/0550-3213(81)90005-5 meta:br/23718	The Qualitative Behavior Of Yang-Mills Theory In 2 + 1 Dimensions	Feynman, Richard P. [meta:ra/32078]	1981-10	Nuclear Physics B [issn:0550-3213 meta:br/23734]	188	3	479-512	journal article	Elsevier Bv [crossref:78 meta:ra/32079]	
doi:10.1002/phbl.19580140102 meta:br/23719	Der Wert Der Wissenschaft	Feynman, Richard P. [meta:ra/32080]	1958-01	Physik Journal [issn:0031-9279 meta:br/23737]	14	1	3-8	journal article	Wiley [crossref:311 meta:ra/32081]	
doi:10.1142/9789814542500_0005 meta:br/23720	PARTONS	Feynman, Richard P. [meta:ra/32082]	1983-01	Hawaii Topical Conferences In Particle Physics [isbn:9789971950361 meta:br/23740]				proceedings article	World Scientific [crossref:219 meta:ra/32083]	
doi:10.1063/1.3066070 meta:br/23721	Pocono Conference	Feynman, Richard P. [meta:ra/32084]	1948-06	Physics Today [issn:0031-9228 meta:br/23741]	1	2	8-10	journal article	Aip Publishing [crossref:317 meta:ra/32085]	
doi:10.15332/s1794-3841.2004.0002.01 meta:br/23722	POLÍTICAS DE INVESTIGACIÓN EN LA UNIVERSIDAD SANTO TOMÁS	Feynman, Richard P [meta:ra/32086]	2005-03-11	Hallazgos [issn:2422-409X meta:br/23744]	1	2		journal article	Universidad Santo Tomas [crossref:6169 meta:ra/32087]	
doi:10.2307/1575550 meta:br/23723	What Do You Care What Other People Think?	Narodny, Leo [meta:ra/32088]; Feynman, Richard [meta:ra/32089]	1991	Leonardo [issn:0024-094X meta:br/23747]	24	4	494	journal article	Jstor [crossref:1121 meta:ra/32090]	
doi:10.2307/1575548 meta:br/23724	The Character Of Physical Law	Narodny, Leo [meta:ra/32091]; Feynman, Richard [meta:ra/32092]	1991	Leonardo [issn:0024-094X meta:br/23747]	24	4	493	journal article	Jstor [crossref:1121 meta:ra/32090]	
doi:10.2307/1575549 meta:br/23725	QED: The Strange Theory Of Light And Matter	Narodny, Leo [meta:ra/32093]; Feynman, Richard [meta:ra/32094]	1991	Leonardo [issn:0024-094X meta:br/23747]	24	4	493	journal article	Jstor [crossref:1121 meta:ra/32090]	
