id	title	author	pub_date	venue	volume	issue	page	type	publisher	editor
doi:10.1007/978-3-319-54627-8_5 meta:br/1	A Simplified Agile Methodology For Ontology Development	Peroni, Silvio [orcid:0000-0003-0530-4305 meta:ra/1]						book chapter		
doi:10.3233/ds-170012 meta:br/2	Automating Semantic Publishing	Peroni, Silvio [orcid:0000-0003-0530-4305 meta:ra/1]	2017-12-08	Data Science [issn:2451-8492 issn:2451-8484 meta:br/10]	1	1-2	155-173	journal article	Ios Press [crossref:7437 meta:ra/2]	Dumontier, Michel [orcid:0000-0003-4727-9435 meta:ra/3]
doi:10.1145/1600193.1600232 meta:br/3	Annotations With EARMARK For Arbitrary, Overlapping And Out-Of Order Markup	Peroni, Silvio [orcid:0000-0003-0530-4305 meta:ra/1]; Vitali, Fabio [orcid:0000-0002-7562-5203 meta:ra/4]						proceedings article		
doi:10.1016/j.websem.2012.08.001 meta:br/4	FaBiO And CiTO: Ontologies For Describing Bibliographic Resources And Citations	Peroni, Silvio [orcid:0000-0003-0530-4305 meta:ra/1]; Shotton, David [orcid:0000-0001-5506-523X meta:ra/5]						journal article		
doi:10.1007/978-3-319-25639-9_35 meta:br/5	Templating The Semantic Web Via RSLT	Peroni, Silvio [orcid:0000-0003-0530-4305 meta:ra/1]; Vitali, Fabio [meta:ra/6]						book chapter		
doi:10.1016/j.websem.2017.06.001 meta:br/6	Interfacing Fast-Fashion Design Industries With Semantic Web Technologies	Peroni, Silvio [orcid:0000-0003-0530-4305 meta:ra/1]; Vitali, Fabio [meta:ra/7]						journal article		
doi:10.1007/978-3-030-00668-6_8 meta:br/7	The SPAR Ontologies	Peroni, Silvio [orcid:0000-0003-0530-4305 meta:ra/1]; Shotton, David [meta:ra/8]						book chapter		
doi:10.3233/sw-130121 meta:br/8	The Collections Ontology: Creating And Handling Collections In OWL 2 DL Frameworks	Ciccarese, Paolo [meta:ra/9]; Peroni, Silvio [orcid:0000-0003-0530-4305 meta:ra/1]						journal article		
doi:10.4242/balisagevol3.peroni01 meta:br/9	Towards Markup Support For Full GODDAGs And Beyond: The EARMARK Approach	Di Iorio, Angelo [meta:ra/10]; Peroni, Silvio [orcid:0000-0003-0530-4305 meta:ra/1]; Vitali, Fabio [orcid:0000-0002-7562-5203 meta:ra/4]						proceedings article		
