"id","value"
"10.1093/nar/gkp1006","Shotton, David [0000-0001-5506-523X]"
"10.1186/2041-1480-1-s1-s6","Shotton, David [0000-0001-5506-523X]"
"10.4056/sigs.147362","Shotton, David [0000-0001-5506-523X]"
"10.1016/j.jbi.2010.04.004","Shotton, David [0000-0001-5506-523X]"
"10.1087/2009202","Shotton, David [0000-0001-5506-523X]"
"10.1093/bib/bbn044","Shotton, David [0000-0001-5506-523X]"
"10.1371/journal.pcbi.1000361","Shotton, David [0000-0001-5506-523X]"
"10.1186/1471-2105-10-s5-s1","Shotton, David [0000-0001-5506-523X]"
"10.1038/422374a","Shotton, David [0000-0001-5506-523X]"
"10.1046/j.0022-2720.2001.00966.x","Shotton, David [0000-0001-5506-523X]"
"10.1046/j.0022-2720.2001.00967.x","Shotton, David [0000-0001-5506-523X]"
"10.1002/(sici)1521-4141(199906)29:06<1793::aid-immu1793>3.0.co;2-3","Shotton, David [0000-0001-5506-523X]"
"10.1093/nar/27.1.280","Shotton, David [0000-0001-5506-523X]"
"10.1006/jsbi.1999.4097","Shotton, David [0000-0001-5506-523X]"
"10.1073/pnas.95.26.15571","Shotton, David [0000-0001-5506-523X]"
"10.1046/j.1432-1327.1998.2570131.x","Shotton, David [0000-0001-5506-523X]"
"10.1007/bf01451571","Shotton, David [0000-0001-5506-523X]"
"10.1002/1361-6374(199406)2:2<114::aid-bio6>3.0.co;2-f","Shotton, David [0000-0001-5506-523X]"
"10.1016/0968-0004(89)90096-0","Shotton, David [0000-0001-5506-523X]"
"10.1016/0309-1651(89)90077-5","Shotton, David [0000-0001-5506-523X]"
"10.1016/0022-510x(88)90023-8","Shotton, David [0000-0001-5506-523X]"
"10.1002/cm.970080106","Shotton, David [0000-0001-5506-523X]"
"10.1016/0022-510x(87)90219-x","Shotton, David [0000-0001-5506-523X]"
"10.1002/mus.880090605","Shotton, David [0000-0001-5506-523X]"
"10.1073/pnas.81.3.776","Shotton, David [0000-0001-5506-523X]"
"10.1016/0165-9936(83)87009-5","Shotton, David [0000-0001-5506-523X]"
"10.1111/j.1365-2141.1983.tb02086.x","Shotton, David [0000-0001-5506-523X]"
"10.1016/0022-510x(82)90025-9","Shotton, David [0000-0001-5506-523X]"
"10.1038/283012a0","Shotton, David [0000-0001-5506-523X]"
"10.1016/0022-2836(80)90298-3","Shotton, David [0000-0001-5506-523X]"
"10.1016/0306-4522(79)90106-4","Shotton, David [0000-0001-5506-523X]"
"10.1016/0022-2836(79)90078-0","Shotton, David [0000-0001-5506-523X]"
"10.1016/0005-2795(78)90079-x","Shotton, David [0000-0001-5506-523X]"
"10.1038/272016a0","Shotton, David [0000-0001-5506-523X]"
"10.1083/jcb.76.2.512","Shotton, David [0000-0001-5506-523X]"
"10.1016/0022-2836(78)90412-6","Shotton, David [0000-0001-5506-523X]"
"10.1016/0005-2736(76)90433-8","Shotton, David [0000-0001-5506-523X]"
"10.1016/0006-291x(73)90183-6","Shotton, David [0000-0001-5506-523X]"
"10.1042/bj1310643","Shotton, David [0000-0001-5506-523X]"
"10.1101/sqb.1972.036.01.015","Shotton, David [0000-0001-5506-523X]"
"10.1002/ciuz.19710050102","Shotton, David [0000-0001-5506-523X]"
"10.1038/225802a0","Shotton, David [0000-0001-5506-523X]"
"10.1098/rstb.1970.0013","Shotton, David [0000-0001-5506-523X]"
"10.1038/225806a0","Shotton, David [0000-0001-5506-523X]"
"10.1038/225811a0","Shotton, David [0000-0001-5506-523X]"
"10.1016/0076-6879(70)19009-4","Shotton, David [0000-0001-5506-523X]"
"10.1016/0022-2836(68)90154-x","Shotton, David [0000-0001-5506-523X]"
"10.1145/2361354.2361396","Shotton, David [0000-0001-5506-523X]"
"10.3233/ds-190016","Peroni, Silvio [0000-0003-0530-4305]"
"10.7287/peerj.preprints.27582v1","Peroni, Silvio [0000-0003-0530-4305]"
"10.7287/peerj.preprints.27582","Peroni, Silvio [0000-0003-0530-4305]"
"10.1007/s11192-018-2988-z","Peroni, Silvio [0000-0003-0530-4305]"
"10.1145/3167132.3167367","Peroni, Silvio [0000-0003-0530-4305]"
"10.1007/978-3-030-01379-0_11","Peroni, Silvio [0000-0003-0530-4305]"
"10.1007/978-3-030-01379-0_9","Peroni, Silvio [0000-0003-0530-4305]"
"10.1007/978-3-030-00668-6_8","Peroni, Silvio [0000-0003-0530-4305]"
"10.3233/ds-170012","Peroni, Silvio [0000-0003-0530-4305]"
"10.1007/978-3-319-54627-8_5","Peroni, Silvio [0000-0003-0530-4305]"
"10.3233/sw-160222","Peroni, Silvio [0000-0003-0530-4305]"
"10.1007/978-3-319-68130-6_1","Peroni, Silvio [0000-0003-0530-4305]"
"10.1007/978-3-319-58694-6_23","Peroni, Silvio [0000-0003-0530-4305]"
"10.1145/3051487","Peroni, Silvio [0000-0003-0530-4305]"
"10.1016/j.websem.2017.06.001","Peroni, Silvio [0000-0003-0530-4305]"
"10.1007/978-3-319-68204-4_19","Peroni, Silvio [0000-0003-0530-4305]"
"10.1016/j.bdr.2016.10.001","Peroni, Silvio [0000-0003-0530-4305]"
"10.7717/peerj-cs.132","Peroni, Silvio [0000-0003-0530-4305]"
"10.3233/sw-160230","Peroni, Silvio [0000-0003-0530-4305]"
"10.1145/3103010.3103018","Peroni, Silvio [0000-0003-0530-4305]"
"10.1109/ccnc.2017.7983287","Peroni, Silvio [0000-0003-0530-4305]"
"10.1007/978-3-319-68204-4_18","Peroni, Silvio [0000-0003-0530-4305]"
"10.1007/978-3-319-46565-4_22","Peroni, Silvio [0000-0003-0530-4305]"
"10.1007/978-3-319-46547-0_18","Peroni, Silvio [0000-0003-0530-4305]"
"10.1007/978-3-319-53637-8_1","Peroni, Silvio [0000-0003-0530-4305]"
"10.3233/sw-160224","Peroni, Silvio [0000-0003-0530-4305]"
"10.1007/978-3-319-53637-8","Peroni, Silvio [0000-0003-0530-4305]"
"10.3233/sw-150177","Peroni, Silvio [0000-0003-0530-4305]"
"10.1007/978-3-319-46397-1_9","Peroni, Silvio [0000-0003-0530-4305]"
"10.1145/2740908.2742133","Peroni, Silvio [0000-0003-0530-4305]"
"10.1145/2682571.2797065","Peroni, Silvio [0000-0003-0530-4305]"
"10.1145/2740908.2742842","Peroni, Silvio [0000-0003-0530-4305]"
"10.1007/978-3-319-25518-7_10","Peroni, Silvio [0000-0003-0530-4305]"
"10.1108/jd-12-2013-0166","Peroni, Silvio [0000-0003-0530-4305]"
"10.1007/978-3-319-25639-9_35","Peroni, Silvio [0000-0003-0530-4305]"
"10.1007/978-3-319-17966-7_10","Peroni, Silvio [0000-0003-0530-4305]"
"10.1177/0165551515585283","Peroni, Silvio [0000-0003-0530-4305]"
"10.1007/978-3-319-11955-7_15","Peroni, Silvio [0000-0003-0530-4305]"
"10.3233/sw-130098","Peroni, Silvio [0000-0003-0530-4305]"
"10.1002/asi.23088","Peroni, Silvio [0000-0003-0530-4305]"
"10.1007/978-3-319-07443-6_39","Peroni, Silvio [0000-0003-0530-4305]"
"10.1145/2611040.2611092","Peroni, Silvio [0000-0003-0530-4305]"
"10.1007/978-3-319-11955-7_42","Peroni, Silvio [0000-0003-0530-4305]"
"10.4242/balisagevol13.peroni01","Peroni, Silvio [0000-0003-0530-4305]"
"10.1016/j.procs.2014.10.012","Peroni, Silvio [0000-0003-0530-4305]"
"10.1007/978-3-642-54347-0_13","Peroni, Silvio [0000-0003-0530-4305]"
"10.1007/978-3-319-11955-7_4","Peroni, Silvio [0000-0003-0530-4305]"
"10.3233/sw-130121","Peroni, Silvio [0000-0003-0530-4305]"
"10.4018/978-1-4666-6042-7.ch041","Peroni, Silvio [0000-0003-0530-4305]"
"10.1109/jcdl.2014.6970182","Peroni, Silvio [0000-0003-0530-4305]"
"10.1145/2517978.2517990","Peroni, Silvio [0000-0003-0530-4305]"
"10.1007/978-3-642-41242-4_6","Peroni, Silvio [0000-0003-0530-4305]"
"10.1007/978-3-642-41242-4_30","Peroni, Silvio [0000-0003-0530-4305]"
"10.1145/2494266.2494319","Peroni, Silvio [0000-0003-0530-4305]"
"10.1007/978-3-642-35834-0_23","Peroni, Silvio [0000-0003-0530-4305]"
"10.1007/978-3-319-03524-6_29","Peroni, Silvio [0000-0003-0530-4305]"
"10.1504/ijwet.2013.059107","Peroni, Silvio [0000-0003-0530-4305]"
"10.4018/jswis.2013010102","Peroni, Silvio [0000-0003-0530-4305]"
"10.1145/2361354.2361374","Peroni, Silvio [0000-0003-0530-4305]"
"10.1145/2245276.2245403","Peroni, Silvio [0000-0003-0530-4305]"
"10.1016/j.websem.2012.08.001","Peroni, Silvio [0000-0003-0530-4305]"
"10.1145/2361354.2361396","Peroni, Silvio [0000-0003-0530-4305]"
"10.1007/978-3-642-33876-2_37","Peroni, Silvio [0000-0003-0530-4305]"
"10.1007/978-3-642-23172-8_24","Peroni, Silvio [0000-0003-0530-4305]"
"10.1007/978-3-642-33876-2_35","Peroni, Silvio [0000-0003-0530-4305]"
"10.1007/978-3-642-24794-1_16","Peroni, Silvio [0000-0003-0530-4305]"
"10.1002/asi.21591","Peroni, Silvio [0000-0003-0530-4305]"
"10.1007/978-3-642-25073-6_30","Peroni, Silvio [0000-0003-0530-4305]"
"10.1145/2063518.2063533","Peroni, Silvio [0000-0003-0530-4305]"
"10.1504/ijwet.2011.043439","Peroni, Silvio [0000-0003-0530-4305]"
"10.1109/hsi.2010.5514513","Peroni, Silvio [0000-0003-0530-4305]"
"10.1007/978-3-642-16438-5_29","Peroni, Silvio [0000-0003-0530-4305]"
"10.1007/978-3-642-16524-5_9","Peroni, Silvio [0000-0003-0530-4305]"
"10.1145/1774088.1774262","Peroni, Silvio [0000-0003-0530-4305]"
"10.1080/13614568.2010.497194","Peroni, Silvio [0000-0003-0530-4305]"
"10.1109/isda.2009.125","Peroni, Silvio [0000-0003-0530-4305]"
"10.1145/1600193.1600232","Peroni, Silvio [0000-0003-0530-4305]"
"10.1007/978-3-540-89704-0_17","Peroni, Silvio [0000-0003-0530-4305]"
"10.4242/balisagevol8.huitfeldt01","Peroni, Silvio [0000-0003-0530-4305]"
"10.4242/balisagevol5.barabucci01","Peroni, Silvio [0000-0003-0530-4305]"
"10.4242/balisagevol3.peroni01","Peroni, Silvio [0000-0003-0530-4305]"
